λ,μ,p,n,snr,MSE
1.0,1.0,20.0,200.0,1.0,0.1778214968219881
1.0,1.0,21.0,200.0,1.0,0.18025689231871767
1.0,1.0,23.0,200.0,1.0,0.1835657035392321
1.0,1.0,25.0,200.0,1.0,0.18924697228724405
1.0,1.0,27.0,200.0,1.0,0.19620581287712413
1.0,1.0,29.0,200.0,1.0,0.21482710274028988
1.0,1.0,31.0,200.0,1.0,0.2551289064965423
1.0,1.0,34.0,200.0,1.0,0.2604018817548217
1.0,1.0,36.0,200.0,1.0,0.27325136516161486
1.0,1.0,39.0,200.0,1.0,0.2832054723102583
1.0,1.0,43.0,200.0,1.0,0.3033755605363888
1.0,1.0,46.0,200.0,1.0,0.32293164712568057
1.0,1.0,50.0,200.0,1.0,0.3895797252692147
1.0,1.0,54.0,200.0,1.0,0.420097639832722
1.0,1.0,58.0,200.0,1.0,0.4236134736477494
1.0,1.0,63.0,200.0,1.0,0.5498898122590042
1.0,1.0,68.0,200.0,1.0,0.5803040217454171
1.0,1.0,73.0,200.0,1.0,0.6194088724972197
1.0,1.0,79.0,200.0,1.0,0.7656625403966566
1.0,1.0,85.0,200.0,1.0,0.8022775297212437
1.0,1.0,92.0,200.0,1.0,0.8263968484883503
1.0,1.0,100.0,200.0,1.0,0.8796751414992298
1.0,1.0,108.0,200.0,1.0,1.0576674167595321
1.0,1.0,116.0,200.0,1.0,1.282569533548825
1.0,1.0,126.0,200.0,1.0,1.6273660195856474
1.0,1.0,136.0,200.0,1.0,1.6222340254451504
1.0,1.0,147.0,200.0,1.0,1.9670170658702133
1.0,1.0,158.0,200.0,1.0,3.916166943897451
1.0,1.0,171.0,200.0,1.0,4.78241603561136
1.0,1.0,185.0,200.0,1.0,14.658535011787466
1.0,1.0,200.0,200.0,1.0,107.07640936867855
1.0,1.0,216.0,200.0,1.0,11.243560103200215
1.0,1.0,234.0,200.0,1.0,6.523553715868007
1.0,1.0,254.0,200.0,1.0,4.6955617101931715
1.0,1.0,275.0,200.0,1.0,3.4697154225852866
1.0,1.0,297.0,200.0,1.0,2.745009028836525
1.0,1.0,322.0,200.0,1.0,2.140932108340218
1.0,1.0,348.0,200.0,1.0,1.8106079832892175
1.0,1.0,377.0,200.0,1.0,1.712746249863152
1.0,1.0,408.0,200.0,1.0,1.5681357486425964
1.0,1.0,442.0,200.0,1.0,1.4776121691788493
1.0,1.0,479.0,200.0,1.0,1.3974211278089974
1.0,1.0,518.0,200.0,1.0,1.3420437428378555
1.0,1.0,561.0,200.0,1.0,1.2487558456482148
1.0,1.0,608.0,200.0,1.0,1.188801019962546
1.0,1.0,658.0,200.0,1.0,1.1294284494547202
1.0,1.0,712.0,200.0,1.0,1.1133543994469381
1.0,1.0,771.0,200.0,1.0,1.1026256601966844
1.0,1.0,835.0,200.0,1.0,1.079819949879179
1.0,1.0,904.0,200.0,1.0,1.0699730425570124
1.0,1.0,979.0,200.0,1.0,1.0557210970654642
1.0,1.0,1059.0,200.0,1.0,1.0603689261515619
1.0,1.0,1147.0,200.0,1.0,1.053747763511077
1.0,1.0,1242.0,200.0,1.0,1.0361966679615322
1.0,1.0,1344.0,200.0,1.0,1.0268437400114374
1.0,1.0,1455.0,200.0,1.0,1.038104789541145
1.0,1.0,1576.0,200.0,1.0,1.0435834468781031
1.0,1.0,1706.0,200.0,1.0,1.0286850577410687
1.0,1.0,1847.0,200.0,1.0,1.030172135594259
1.0,1.0,2000.0,200.0,1.0,1.0295104827364705
1.0,1.0,20.0,200.0,2.333333333333333,0.1778214968219881
1.0,1.0,21.0,200.0,2.333333333333333,0.18025689231871786
1.0,1.0,23.0,200.0,2.333333333333333,0.18356570353923202
1.0,1.0,25.0,200.0,2.333333333333333,0.18924697228724427
1.0,1.0,27.0,200.0,2.333333333333333,0.1962058128771243
1.0,1.0,29.0,200.0,2.333333333333333,0.21482710274029004
1.0,1.0,31.0,200.0,2.333333333333333,0.2551289064965423
1.0,1.0,34.0,200.0,2.333333333333333,0.26040188175482204
1.0,1.0,36.0,200.0,2.333333333333333,0.2732513651616151
1.0,1.0,39.0,200.0,2.333333333333333,0.28320547231025867
1.0,1.0,43.0,200.0,2.333333333333333,0.30337556053638887
1.0,1.0,46.0,200.0,2.333333333333333,0.32293164712568084
1.0,1.0,50.0,200.0,2.333333333333333,0.38957972526921403
1.0,1.0,54.0,200.0,2.333333333333333,0.42009763983272186
1.0,1.0,58.0,200.0,2.333333333333333,0.42361347364774954
1.0,1.0,63.0,200.0,2.333333333333333,0.5498898122590042
1.0,1.0,68.0,200.0,2.333333333333333,0.5803040217454172
1.0,1.0,73.0,200.0,2.333333333333333,0.6194088724972193
1.0,1.0,79.0,200.0,2.333333333333333,0.765662540396657
1.0,1.0,85.0,200.0,2.333333333333333,0.8022775297212429
1.0,1.0,92.0,200.0,2.333333333333333,0.8263968484883503
1.0,1.0,100.0,200.0,2.333333333333333,0.8796751414992298
1.0,1.0,108.0,200.0,2.333333333333333,1.0576674167595335
1.0,1.0,116.0,200.0,2.333333333333333,1.2825695335488263
1.0,1.0,126.0,200.0,2.333333333333333,1.6273660195856454
1.0,1.0,136.0,200.0,2.333333333333333,1.6222340254451513
1.0,1.0,147.0,200.0,2.333333333333333,1.9670170658702089
1.0,1.0,158.0,200.0,2.333333333333333,3.9161669438974482
1.0,1.0,171.0,200.0,2.333333333333333,4.782416035611367
1.0,1.0,185.0,200.0,2.333333333333333,14.658535011787512
1.0,1.0,200.0,200.0,2.333333333333333,107.07640936874272
1.0,1.0,216.0,200.0,2.333333333333333,11.323954573356259
1.0,1.0,234.0,200.0,2.333333333333333,6.689721268969135
1.0,1.0,254.0,200.0,2.333333333333333,4.96533306231551
1.0,1.0,275.0,200.0,2.333333333333333,3.8044615400509136
1.0,1.0,297.0,200.0,2.333333333333333,3.1664147992753153
1.0,1.0,322.0,200.0,2.333333333333333,2.6303187709479747
1.0,1.0,348.0,200.0,2.333333333333333,2.362586470558569
1.0,1.0,377.0,200.0,2.333333333333333,2.333081540543912
1.0,1.0,408.0,200.0,2.333333333333333,2.230116618768716
1.0,1.0,442.0,200.0,2.333333333333333,2.198405576185987
1.0,1.0,479.0,200.0,2.333333333333333,2.1621386871734387
1.0,1.0,518.0,200.0,2.333333333333333,2.1642270798085517
1.0,1.0,561.0,200.0,2.333333333333333,2.0818983845294987
1.0,1.0,608.0,200.0,2.333333333333333,2.0472172413400878
1.0,1.0,658.0,200.0,2.333333333333333,2.026290162199467
1.0,1.0,712.0,200.0,2.333333333333333,2.025084217467837
1.0,1.0,771.0,200.0,2.333333333333333,2.060672008540178
1.0,1.0,835.0,200.0,2.333333333333333,2.066972316290356
1.0,1.0,904.0,200.0,2.333333333333333,2.090533740808446
1.0,1.0,979.0,200.0,2.333333333333333,2.1001957600282766
1.0,1.0,1059.0,200.0,2.333333333333333,2.153545326773615
1.0,1.0,1147.0,200.0,2.333333333333333,2.16557734842709
1.0,1.0,1242.0,200.0,2.333333333333333,2.149210856722528
1.0,1.0,1344.0,200.0,2.333333333333333,2.1484545997594107
1.0,1.0,1455.0,200.0,2.333333333333333,2.192284252549739
1.0,1.0,1576.0,200.0,2.333333333333333,2.226035017122335
1.0,1.0,1706.0,200.0,2.333333333333333,2.2107980176197337
1.0,1.0,1847.0,200.0,2.333333333333333,2.2358294345001437
1.0,1.0,2000.0,200.0,2.333333333333333,2.2457021273763593
1.0,1.0,20.0,200.0,3.6666666666666665,0.17782149682198803
1.0,1.0,21.0,200.0,3.6666666666666665,0.18025689231871797
1.0,1.0,23.0,200.0,3.6666666666666665,0.18356570353923185
1.0,1.0,25.0,200.0,3.6666666666666665,0.18924697228724435
1.0,1.0,27.0,200.0,3.6666666666666665,0.19620581287712446
1.0,1.0,29.0,200.0,3.6666666666666665,0.21482710274029004
1.0,1.0,31.0,200.0,3.6666666666666665,0.2551289064965423
1.0,1.0,34.0,200.0,3.6666666666666665,0.2604018817548221
1.0,1.0,36.0,200.0,3.6666666666666665,0.27325136516161536
1.0,1.0,39.0,200.0,3.6666666666666665,0.2832054723102588
1.0,1.0,43.0,200.0,3.6666666666666665,0.3033755605363888
1.0,1.0,46.0,200.0,3.6666666666666665,0.322931647125681
1.0,1.0,50.0,200.0,3.6666666666666665,0.3895797252692139
1.0,1.0,54.0,200.0,3.6666666666666665,0.42009763983272186
1.0,1.0,58.0,200.0,3.6666666666666665,0.42361347364774976
1.0,1.0,63.0,200.0,3.6666666666666665,0.549889812259004
1.0,1.0,68.0,200.0,3.6666666666666665,0.5803040217454171
1.0,1.0,73.0,200.0,3.6666666666666665,0.619408872497219
1.0,1.0,79.0,200.0,3.6666666666666665,0.7656625403966572
1.0,1.0,85.0,200.0,3.6666666666666665,0.8022775297212424
1.0,1.0,92.0,200.0,3.6666666666666665,0.8263968484883509
1.0,1.0,100.0,200.0,3.6666666666666665,0.8796751414992293
1.0,1.0,108.0,200.0,3.6666666666666665,1.0576674167595341
1.0,1.0,116.0,200.0,3.6666666666666665,1.2825695335488267
1.0,1.0,126.0,200.0,3.6666666666666665,1.6273660195856434
1.0,1.0,136.0,200.0,3.6666666666666665,1.6222340254451522
1.0,1.0,147.0,200.0,3.6666666666666665,1.9670170658702053
1.0,1.0,158.0,200.0,3.6666666666666665,3.916166943897445
1.0,1.0,171.0,200.0,3.6666666666666665,4.7824160356113685
1.0,1.0,185.0,200.0,3.6666666666666665,14.658535011787544
1.0,1.0,200.0,200.0,3.6666666666666665,107.07640936878971
1.0,1.0,216.0,200.0,3.6666666666666665,11.40337479190309
1.0,1.0,234.0,200.0,3.6666666666666665,6.853396262710796
1.0,1.0,254.0,200.0,3.6666666666666665,5.234182473687975
1.0,1.0,275.0,200.0,3.6666666666666665,4.139514895936947
1.0,1.0,297.0,200.0,3.6666666666666665,3.5879973902465796
1.0,1.0,322.0,200.0,3.6666666666666665,3.119330695727718
1.0,1.0,348.0,200.0,3.6666666666666665,2.9139883570326512
1.0,1.0,377.0,200.0,3.6666666666666665,2.9528157986568573
1.0,1.0,408.0,200.0,3.6666666666666665,2.8933258141871256
1.0,1.0,442.0,200.0,3.6666666666666665,2.9195200861111656
1.0,1.0,479.0,200.0,3.6666666666666665,2.9266988672667673
1.0,1.0,518.0,200.0,3.6666666666666665,2.9859836601770255
1.0,1.0,561.0,200.0,3.6666666666666665,2.9145211411417145
1.0,1.0,608.0,200.0,3.6666666666666665,2.9052451143661417
1.0,1.0,658.0,200.0,3.6666666666666665,2.923437644821947
1.0,1.0,712.0,200.0,3.6666666666666665,2.9350869651657705
1.0,1.0,771.0,200.0,3.6666666666666665,3.018206556799064
1.0,1.0,835.0,200.0,3.6666666666666665,3.0531910746425512
1.0,1.0,904.0,200.0,3.6666666666666665,3.1103011569221
1.0,1.0,979.0,200.0,3.6666666666666665,3.1438330574651983
1.0,1.0,1059.0,200.0,3.6666666666666665,3.2454769917881676
1.0,1.0,1147.0,200.0,3.6666666666666665,3.2761059369399614
1.0,1.0,1242.0,200.0,3.6666666666666665,3.2609348253051227
1.0,1.0,1344.0,200.0,3.6666666666666665,3.2685701063734123
1.0,1.0,1455.0,200.0,3.6666666666666665,3.345097125256958
1.0,1.0,1576.0,200.0,3.6666666666666665,3.4075178087978477
1.0,1.0,1706.0,200.0,3.6666666666666665,3.3923840163464125
1.0,1.0,1847.0,200.0,3.6666666666666665,3.443498293277043
1.0,1.0,2000.0,200.0,3.6666666666666665,3.4629946103751252
1.0,1.0,20.0,200.0,5.0,0.177821496821988
1.0,1.0,21.0,200.0,5.0,0.18025689231871794
1.0,1.0,23.0,200.0,5.0,0.18356570353923202
1.0,1.0,25.0,200.0,5.0,0.1892469722872444
1.0,1.0,27.0,200.0,5.0,0.19620581287712457
1.0,1.0,29.0,200.0,5.0,0.2148271027402901
1.0,1.0,31.0,200.0,5.0,0.2551289064965421
1.0,1.0,34.0,200.0,5.0,0.2604018817548221
1.0,1.0,36.0,200.0,5.0,0.2732513651616155
1.0,1.0,39.0,200.0,5.0,0.28320547231025894
1.0,1.0,43.0,200.0,5.0,0.30337556053638876
1.0,1.0,46.0,200.0,5.0,0.3229316471256809
1.0,1.0,50.0,200.0,5.0,0.3895797252692134
1.0,1.0,54.0,200.0,5.0,0.4200976398327217
1.0,1.0,58.0,200.0,5.0,0.42361347364774976
1.0,1.0,63.0,200.0,5.0,0.549889812259004
1.0,1.0,68.0,200.0,5.0,0.5803040217454172
1.0,1.0,73.0,200.0,5.0,0.6194088724972191
1.0,1.0,79.0,200.0,5.0,0.7656625403966576
1.0,1.0,85.0,200.0,5.0,0.8022775297212422
1.0,1.0,92.0,200.0,5.0,0.8263968484883515
1.0,1.0,100.0,200.0,5.0,0.8796751414992298
1.0,1.0,108.0,200.0,5.0,1.0576674167595346
