λ,μ,p,n,snr,MSE,null_risk
1.0,1.0,20.0,200.0,1.0,1.0936410344651368,2.136987391909766
1.0,1.0,21.0,200.0,1.0,1.0936102431171317,2.124973594382875
1.0,1.0,23.0,200.0,1.0,1.113956162426454,2.105275110128671
1.0,1.0,25.0,200.0,1.0,1.2297897666576973,2.1117748708675457
1.0,1.0,27.0,200.0,1.0,1.2340969218805753,2.1289469902655407
1.0,1.0,29.0,200.0,1.0,1.3011417549408186,2.1126819227545814
1.0,1.0,31.0,200.0,1.0,1.3166346618556637,2.1444321365764
1.0,1.0,34.0,200.0,1.0,1.3150821165155662,2.147829167939014
1.0,1.0,36.0,200.0,1.0,1.311310158497835,2.134081291567857
1.0,1.0,39.0,200.0,1.0,1.330123013918182,2.118578422243006
1.0,1.0,43.0,200.0,1.0,1.3164465205343268,2.090142873406306
1.0,1.0,46.0,200.0,1.0,1.3627886872870645,2.102808384495576
1.0,1.0,50.0,200.0,1.0,1.3848380125689441,2.077633119153013
1.0,1.0,54.0,200.0,1.0,1.420219322730513,2.053328075712639
1.0,1.0,58.0,200.0,1.0,1.4185093003963603,2.059555487114863
1.0,1.0,63.0,200.0,1.0,1.4542353915983366,2.0553834680554144
1.0,1.0,68.0,200.0,1.0,1.5214042973829303,2.113173713786242
1.0,1.0,73.0,200.0,1.0,1.576673101221283,2.060543651976304
1.0,1.0,79.0,200.0,1.0,1.6055432666335332,2.0465260080450656
1.0,1.0,85.0,200.0,1.0,1.6779803091939225,2.0426999681367266
1.0,1.0,92.0,200.0,1.0,1.7347130545816778,2.110436496216623
1.0,1.0,100.0,200.0,1.0,1.7587378927001343,2.0797328429057713
1.0,1.0,108.0,200.0,1.0,1.925011046849433,2.0597803855868877
1.0,1.0,116.0,200.0,1.0,2.2973036551444084,2.068518535372199
1.0,1.0,126.0,200.0,1.0,2.6627448704855405,2.0669482606470564
1.0,1.0,136.0,200.0,1.0,3.289906375636486,2.0769923737925593
1.0,1.0,147.0,200.0,1.0,3.454565454162446,2.0550442107899936
1.0,1.0,158.0,200.0,1.0,4.078262547883514,2.035180723180966
1.0,1.0,171.0,200.0,1.0,6.699908546995501,1.9929965283641438
1.0,1.0,185.0,200.0,1.0,14.026682920045571,2.000362637286175
1.0,1.0,200.0,200.0,1.0,75000.66007628599,1.9909307839506198
1.0,1.0,216.0,200.0,1.0,8.748123879458584,1.9936479123918824
1.0,1.0,234.0,200.0,1.0,5.736000290521573,2.0169168422759065
1.0,1.0,254.0,200.0,1.0,4.5241492696198975,2.0262589613600723
1.0,1.0,275.0,200.0,1.0,3.7715160138440202,2.0373037898476802
1.0,1.0,297.0,200.0,1.0,3.3746681537302203,2.0110563355183553
1.0,1.0,322.0,200.0,1.0,2.9203351194101477,2.0159022717604755
1.0,1.0,348.0,200.0,1.0,2.5832014611121723,2.014937904521446
1.0,1.0,377.0,200.0,1.0,2.3948285932895725,1.988931779463447
1.0,1.0,408.0,200.0,1.0,2.179141762919373,1.9862117613746613
1.0,1.0,442.0,200.0,1.0,2.128239151641712,1.9896411564839236
1.0,1.0,479.0,200.0,1.0,2.092160312479911,1.9667728872841213
1.0,1.0,518.0,200.0,1.0,2.0812644214153253,1.958341425323652
1.0,1.0,561.0,200.0,1.0,2.0687842737651865,1.9835873204713603
1.0,1.0,608.0,200.0,1.0,2.108475635703864,1.9674137574842498
1.0,1.0,658.0,200.0,1.0,2.0785595391668523,1.9469212889116179
1.0,1.0,712.0,200.0,1.0,2.072059126620288,1.9265430219273958
1.0,1.0,771.0,200.0,1.0,2.035442379684046,1.9358089166840045
1.0,1.0,835.0,200.0,1.0,1.97642070949787,1.8795802737081366
1.0,1.0,904.0,200.0,1.0,1.953050705507923,1.8966466211625523
1.0,1.0,979.0,200.0,1.0,2.0048418701178323,1.930645391456087
1.0,1.0,1059.0,200.0,1.0,1.9590732530213317,1.891346607318513
1.0,1.0,1147.0,200.0,1.0,1.9713776230403368,1.8830292059330966
1.0,1.0,1242.0,200.0,1.0,1.9301182033659456,1.8721246836408902
1.0,1.0,1344.0,200.0,1.0,1.9468648733002363,1.8851896728037696
1.0,1.0,1455.0,200.0,1.0,1.9224303254880197,1.9081547007463762
1.0,1.0,1576.0,200.0,1.0,1.8530452342465342,1.8595084162415758
1.0,1.0,1706.0,200.0,1.0,1.8637524820729219,1.8676114867443607
1.0,1.0,1847.0,200.0,1.0,1.85782250573063,1.8269821040874383
1.0,1.0,2000.0,200.0,1.0,1.901972998423246,1.827079065878288
1.0,1.0,20.0,200.0,2.333333333333333,1.0936410344651366,3.602620451591127
1.0,1.0,21.0,200.0,2.333333333333333,1.0936102431171313,3.5723491870124646
1.0,1.0,23.0,200.0,2.333333333333333,1.1139561624264542,3.523620893011698
1.0,1.0,25.0,200.0,2.333333333333333,1.2297897666576973,3.531973265060699
1.0,1.0,27.0,200.0,2.333333333333333,1.234096921880575,3.561691984166511
1.0,1.0,29.0,200.0,2.333333333333333,1.3011417549408186,3.518640179677118
1.0,1.0,31.0,200.0,2.333333333333333,1.3166346618556637,3.5856147855291693
1.0,1.0,34.0,200.0,2.333333333333333,1.3150821165155666,3.5926854728576267
1.0,1.0,36.0,200.0,2.333333333333333,1.3113101584978348,3.5651910847799226
1.0,1.0,39.0,200.0,2.333333333333333,1.330123013918182,3.5361298046478344
1.0,1.0,43.0,200.0,2.333333333333333,1.3164465205343268,3.4960139238912133
1.0,1.0,46.0,200.0,2.333333333333333,1.3627886872870645,3.5156176753013133
1.0,1.0,50.0,200.0,2.333333333333333,1.3848380125689441,3.4732117227487214
1.0,1.0,54.0,200.0,2.333333333333333,1.4202193227305129,3.4230076326571544
1.0,1.0,58.0,200.0,2.333333333333333,1.4185093003963603,3.4419054220029346
1.0,1.0,63.0,200.0,2.333333333333333,1.4542353915983366,3.435338407896655
1.0,1.0,68.0,200.0,2.333333333333333,1.52140429738293,3.5526418444860535
1.0,1.0,73.0,200.0,2.333333333333333,1.5766731012212831,3.4492975410856723
1.0,1.0,79.0,200.0,2.333333333333333,1.6055432666335332,3.4075115434353687
1.0,1.0,85.0,200.0,2.333333333333333,1.677980309193923,3.398784021589591
1.0,1.0,92.0,200.0,2.333333333333333,1.7347130545816787,3.5352872974247127
1.0,1.0,100.0,200.0,2.333333333333333,1.7587378927001343,3.469088129497744
1.0,1.0,108.0,200.0,2.333333333333333,1.9250110468494328,3.4359818845937116
1.0,1.0,116.0,200.0,2.333333333333333,2.297303655144404,3.4477054657104276
1.0,1.0,126.0,200.0,2.333333333333333,2.6627448704855405,3.438695007785033
1.0,1.0,136.0,200.0,2.333333333333333,3.2899063756364884,3.4629829282938007
1.0,1.0,147.0,200.0,2.333333333333333,3.454565454162455,3.429774875056264
1.0,1.0,158.0,200.0,2.333333333333333,4.078262547883522,3.4146062372307977
1.0,1.0,171.0,200.0,2.333333333333333,6.699908546995506,3.3285561235000896
1.0,1.0,185.0,200.0,2.333333333333333,14.026682920045625,3.361209759226834
1.0,1.0,200.0,200.0,2.333333333333333,75000.66007588904,3.3464096422524174
1.0,1.0,216.0,200.0,2.333333333333333,8.849011895375938,3.3647425350888267
1.0,1.0,234.0,200.0,2.333333333333333,5.914937708332342,3.4038862176371767
1.0,1.0,254.0,200.0,2.333333333333333,4.857949701575082,3.4198027016989743
1.0,1.0,275.0,200.0,2.333333333333333,4.208781898812212,3.4247289636196934
1.0,1.0,297.0,200.0,2.333333333333333,3.8258471270548653,3.3658326850943707
1.0,1.0,322.0,200.0,2.333333333333333,3.418283944524651,3.3670353119051613
1.0,1.0,348.0,200.0,2.333333333333333,3.1378056058991097,3.381445131946733
1.0,1.0,377.0,200.0,2.333333333333333,2.9840772664770037,3.3291925324068234
1.0,1.0,408.0,200.0,2.333333333333333,2.8135610334101635,3.310011705476269
1.0,1.0,442.0,200.0,2.333333333333333,2.8348440599634612,3.3192018042414775
1.0,1.0,479.0,200.0,2.333333333333333,2.8764391541800323,3.2734192201330217
1.0,1.0,518.0,200.0,2.333333333333333,2.9270375413044345,3.263586714937763
1.0,1.0,561.0,200.0,2.333333333333333,2.93771767273352,3.3229642031884983
1.0,1.0,608.0,200.0,2.333333333333333,3.0385845971393413,3.285199898058596
1.0,1.0,658.0,200.0,2.333333333333333,3.0233771607334776,3.247361164522996
1.0,1.0,712.0,200.0,2.333333333333333,3.059861909081331,3.2085569080159067
1.0,1.0,771.0,200.0,2.333333333333333,3.01491990881436,3.2288877369525806
1.0,1.0,835.0,200.0,2.333333333333333,2.9805981640614356,3.1332565240835737
1.0,1.0,904.0,200.0,2.333333333333333,2.9689485177276573,3.1712167343417117
1.0,1.0,979.0,200.0,2.333333333333333,3.082135639708703,3.232584909311807
