λ,μ,p,n,snr,MSE
1.0,1.0,20.0,200.0,1.0,0.11454768827693422
1.0,1.0,21.0,200.0,1.0,0.11185423660260845
1.0,1.0,23.0,200.0,1.0,0.12510871814470387
1.0,1.0,25.0,200.0,1.0,0.1262006851938282
1.0,1.0,27.0,200.0,1.0,0.1286839903226082
1.0,1.0,29.0,200.0,1.0,0.14412037364318142
1.0,1.0,31.0,200.0,1.0,0.16006602188276342
1.0,1.0,34.0,200.0,1.0,0.16229212269034793
1.0,1.0,36.0,200.0,1.0,0.16299908456226034
1.0,1.0,39.0,200.0,1.0,0.1726950184001379
1.0,1.0,43.0,200.0,1.0,0.23047763908519664
1.0,1.0,46.0,200.0,1.0,0.249373590856977
1.0,1.0,50.0,200.0,1.0,0.3017491472850314
1.0,1.0,54.0,200.0,1.0,0.3392209224249592
1.0,1.0,58.0,200.0,1.0,0.3686379214797392
1.0,1.0,63.0,200.0,1.0,0.4291417040836949
1.0,1.0,68.0,200.0,1.0,0.5225821028665323
1.0,1.0,73.0,200.0,1.0,0.525375137747654
1.0,1.0,79.0,200.0,1.0,0.5234690249767033
1.0,1.0,85.0,200.0,1.0,0.6279948945924853
1.0,1.0,92.0,200.0,1.0,0.747309745387444
1.0,1.0,100.0,200.0,1.0,0.7689613156610025
1.0,1.0,108.0,200.0,1.0,0.833494318063905
1.0,1.0,116.0,200.0,1.0,1.0066186193178162
1.0,1.0,126.0,200.0,1.0,1.3927104048769843
1.0,1.0,136.0,200.0,1.0,1.332893845448791
1.0,1.0,147.0,200.0,1.0,2.0085863561935717
1.0,1.0,158.0,200.0,1.0,3.13807790453033
1.0,1.0,171.0,200.0,1.0,5.524223205066215
1.0,1.0,185.0,200.0,1.0,11.901190940284469
1.0,1.0,200.0,200.0,1.0,438.69021231637316
1.0,1.0,216.0,200.0,1.0,10.167004266889085
1.0,1.0,234.0,200.0,1.0,4.754470221337995
1.0,1.0,254.0,200.0,1.0,3.7236782876755505
1.0,1.0,275.0,200.0,1.0,3.0120153869945456
1.0,1.0,297.0,200.0,1.0,2.3777507376138374
1.0,1.0,322.0,200.0,1.0,1.7734457921697335
1.0,1.0,348.0,200.0,1.0,1.4317654440519891
1.0,1.0,377.0,200.0,1.0,1.1629881971522722
1.0,1.0,408.0,200.0,1.0,0.9999714794650674
1.0,1.0,442.0,200.0,1.0,0.9271868124483743
1.0,1.0,479.0,200.0,1.0,0.8459612722210131
1.0,1.0,518.0,200.0,1.0,0.7671252313322994
1.0,1.0,561.0,200.0,1.0,0.7331822595822156
1.0,1.0,608.0,200.0,1.0,0.7021999616152896
1.0,1.0,658.0,200.0,1.0,0.665850458061316
1.0,1.0,712.0,200.0,1.0,0.6389595807193402
1.0,1.0,771.0,200.0,1.0,0.6125617247308737
1.0,1.0,835.0,200.0,1.0,0.5953399696176176
1.0,1.0,904.0,200.0,1.0,0.5700727209127918
1.0,1.0,979.0,200.0,1.0,0.5528123781820191
1.0,1.0,1059.0,200.0,1.0,0.5408801945476748
1.0,1.0,1147.0,200.0,1.0,0.5207416797530207
1.0,1.0,1242.0,200.0,1.0,0.5227935639570944
1.0,1.0,1344.0,200.0,1.0,0.5204653868202181
1.0,1.0,1455.0,200.0,1.0,0.5072422957362009
1.0,1.0,1576.0,200.0,1.0,0.4995203452084828
1.0,1.0,1706.0,200.0,1.0,0.49183860906252475
1.0,1.0,1847.0,200.0,1.0,0.4862501147307622
1.0,1.0,2000.0,200.0,1.0,0.488528266976072
1.0,1.0,20.0,200.0,2.333333333333333,0.11454768827693405
1.0,1.0,21.0,200.0,2.333333333333333,0.11185423660260845
