λ,μ,p,n,snr,MSE
1.0,1.0,20.0,200.0,1.0,0.17773819666899984
1.0,1.0,21.0,200.0,1.0,0.17914292854024275
1.0,1.0,23.0,200.0,1.0,0.19065662178658385
1.0,1.0,25.0,200.0,1.0,0.19120086189407662
1.0,1.0,27.0,200.0,1.0,0.19418654620932807
1.0,1.0,29.0,200.0,1.0,0.23600369504854493
1.0,1.0,31.0,200.0,1.0,0.23616029194839247
1.0,1.0,34.0,200.0,1.0,0.2532940399264588
1.0,1.0,36.0,200.0,1.0,0.2542224099413933
1.0,1.0,39.0,200.0,1.0,0.2521364802134758
1.0,1.0,43.0,200.0,1.0,0.26575187551287466
1.0,1.0,46.0,200.0,1.0,0.2748845404717562
1.0,1.0,50.0,200.0,1.0,0.29834624556144596
1.0,1.0,54.0,200.0,1.0,0.35932103400542764
1.0,1.0,58.0,200.0,1.0,0.4100297017454144
1.0,1.0,63.0,200.0,1.0,0.43527945646177796
1.0,1.0,68.0,200.0,1.0,0.4998212076107961
1.0,1.0,73.0,200.0,1.0,0.5756680266337666
1.0,1.0,79.0,200.0,1.0,0.5884496911468153
1.0,1.0,85.0,200.0,1.0,0.752948623237962
1.0,1.0,92.0,200.0,1.0,1.008704539537295
1.0,1.0,100.0,200.0,1.0,1.2217567105460243
1.0,1.0,108.0,200.0,1.0,1.3155183305682485
1.0,1.0,116.0,200.0,1.0,1.5040883291815779
1.0,1.0,126.0,200.0,1.0,1.5401744784570308
1.0,1.0,136.0,200.0,1.0,1.6981456945561297
1.0,1.0,147.0,200.0,1.0,2.387308614316465
1.0,1.0,158.0,200.0,1.0,3.697758436535862
1.0,1.0,171.0,200.0,1.0,4.915038235087013
1.0,1.0,185.0,200.0,1.0,10.743165440118924
1.0,1.0,200.0,200.0,1.0,87.55069856866069
1.0,1.0,216.0,200.0,1.0,15.858324452584453
1.0,1.0,234.0,200.0,1.0,7.054915244438608
1.0,1.0,254.0,200.0,1.0,3.699383017838052
1.0,1.0,275.0,200.0,1.0,2.9136172808287335
1.0,1.0,297.0,200.0,1.0,2.178118126455857
1.0,1.0,322.0,200.0,1.0,1.6536743000446463
1.0,1.0,348.0,200.0,1.0,1.2397447077230395
1.0,1.0,377.0,200.0,1.0,1.0305052051876367
1.0,1.0,408.0,200.0,1.0,0.8590843039556927
1.0,1.0,442.0,200.0,1.0,0.7645065041217395
1.0,1.0,479.0,200.0,1.0,0.6276261303885396
1.0,1.0,518.0,200.0,1.0,0.5667252483007715
1.0,1.0,561.0,200.0,1.0,0.48873353740025793
1.0,1.0,608.0,200.0,1.0,0.43941133383859304
1.0,1.0,658.0,200.0,1.0,0.3889724471804522
1.0,1.0,712.0,200.0,1.0,0.35890361883913974
1.0,1.0,771.0,200.0,1.0,0.3140502468075699
1.0,1.0,835.0,200.0,1.0,0.2885887172687558
1.0,1.0,904.0,200.0,1.0,0.26049520288101635
1.0,1.0,979.0,200.0,1.0,0.23425178422571252
1.0,1.0,1059.0,200.0,1.0,0.20958995571888844
1.0,1.0,1147.0,200.0,1.0,0.18947874988721827
1.0,1.0,1242.0,200.0,1.0,0.1776859028390661
1.0,1.0,1344.0,200.0,1.0,0.16112059006547788
1.0,1.0,1455.0,200.0,1.0,0.5055709794214099
