λ,μ,p,n,snr,MSE
1.0,1.0,20.0,200.0,1.0,0.12487159679223692
1.0,1.0,21.0,200.0,1.0,0.13451494954190854
1.0,1.0,23.0,200.0,1.0,0.14038652531554077
1.0,1.0,25.0,200.0,1.0,0.1548163837214392
1.0,1.0,27.0,200.0,1.0,0.18644849509485997
1.0,1.0,29.0,200.0,1.0,0.22359198819266
1.0,1.0,31.0,200.0,1.0,0.22774674652422508
1.0,1.0,34.0,200.0,1.0,0.23473746287655248
1.0,1.0,36.0,200.0,1.0,0.24551352328616485
1.0,1.0,39.0,200.0,1.0,0.24347488234583683
1.0,1.0,43.0,200.0,1.0,0.30007910971542956
1.0,1.0,46.0,200.0,1.0,0.3181240544821243
1.0,1.0,50.0,200.0,1.0,0.32471066707859225
1.0,1.0,54.0,200.0,1.0,0.4293376565960861
1.0,1.0,58.0,200.0,1.0,0.4406389411139753
1.0,1.0,63.0,200.0,1.0,0.5081032601793467
1.0,1.0,68.0,200.0,1.0,0.5907766875880519
1.0,1.0,73.0,200.0,1.0,0.6826587142229837
1.0,1.0,79.0,200.0,1.0,0.7209028008857395
1.0,1.0,85.0,200.0,1.0,0.8588741381494368
1.0,1.0,92.0,200.0,1.0,1.0524830142025516
1.0,1.0,100.0,200.0,1.0,1.0788865307641171
1.0,1.0,108.0,200.0,1.0,1.1892117571256733
1.0,1.0,116.0,200.0,1.0,1.7987776013861665
1.0,1.0,126.0,200.0,1.0,2.3901241366455674
1.0,1.0,136.0,200.0,1.0,3.1273524800035
1.0,1.0,147.0,200.0,1.0,3.0118171998669547
1.0,1.0,158.0,200.0,1.0,4.457035470370726
1.0,1.0,171.0,200.0,1.0,6.45204831823276
1.0,1.0,185.0,200.0,1.0,10.57742707005023
1.0,1.0,200.0,200.0,1.0,4876.644718912422
1.0,1.0,216.0,200.0,1.0,8.597184036598179
1.0,1.0,234.0,200.0,1.0,3.7112315054193954
1.0,1.0,254.0,200.0,1.0,2.912624618411398
1.0,1.0,275.0,200.0,1.0,2.4772204196981753
1.0,1.0,297.0,200.0,1.0,1.9913950977531254
1.0,1.0,322.0,200.0,1.0,1.8010427918173293
1.0,1.0,348.0,200.0,1.0,1.6830414441448958
1.0,1.0,377.0,200.0,1.0,1.5504497941030069
1.0,1.0,408.0,200.0,1.0,1.440498303296848
1.0,1.0,442.0,200.0,1.0,1.3644454136013813
1.0,1.0,479.0,200.0,1.0,1.3093302773370061
1.0,1.0,518.0,200.0,1.0,1.2412690813184144
1.0,1.0,561.0,200.0,1.0,1.1900343822044297
1.0,1.0,608.0,200.0,1.0,1.1851873992146107
1.0,1.0,658.0,200.0,1.0,1.1312201736731953
1.0,1.0,712.0,200.0,1.0,1.128835944865142
1.0,1.0,771.0,200.0,1.0,1.0906012427662333
1.0,1.0,835.0,200.0,1.0,1.0548818995049918
1.0,1.0,904.0,200.0,1.0,1.0363423508130927
1.0,1.0,979.0,200.0,1.0,1.0340533176673419
1.0,1.0,1059.0,200.0,1.0,1.0022601501968351
1.0,1.0,1147.0,200.0,1.0,0.9993224677155025
1.0,1.0,1242.0,200.0,1.0,0.9916316623008912
1.0,1.0,1344.0,200.0,1.0,0.9868587118228302
1.0,1.0,1455.0,200.0,1.0,0.9876444265334711
1.0,1.0,1576.0,200.0,1.0,0.9906012945330058
1.0,1.0,1706.0,200.0,1.0,0.9948617620704121
1.0,1.0,1847.0,200.0,1.0,0.9917824522962312
1.0,1.0,2000.0,200.0,1.0,0.9934553213353025
1.0,1.0,20.0,200.0,2.333333333333333,0.12487159679223696
1.0,1.0,21.0,200.0,2.333333333333333,0.13451494954190865
1.0,1.0,23.0,200.0,2.333333333333333,0.14038652531554074
1.0,1.0,25.0,200.0,2.333333333333333,0.1548163837214391
1.0,1.0,27.0,200.0,2.333333333333333,0.18644849509485983
1.0,1.0,29.0,200.0,2.333333333333333,0.22359198819265985
1.0,1.0,31.0,200.0,2.333333333333333,0.22774674652422505
1.0,1.0,34.0,200.0,2.333333333333333,0.23473746287655217
1.0,1.0,36.0,200.0,2.333333333333333,0.24551352328616477
1.0,1.0,39.0,200.0,2.333333333333333,0.24347488234583692
1.0,1.0,43.0,200.0,2.333333333333333,0.30007910971542967
1.0,1.0,46.0,200.0,2.333333333333333,0.3181240544821243
1.0,1.0,50.0,200.0,2.333333333333333,0.3247106670785922
1.0,1.0,54.0,200.0,2.333333333333333,0.42933765659608597
1.0,1.0,58.0,200.0,2.333333333333333,0.44063894111397556
1.0,1.0,63.0,200.0,2.333333333333333,0.5081032601793466
1.0,1.0,68.0,200.0,2.333333333333333,0.5907766875880525
1.0,1.0,73.0,200.0,2.333333333333333,0.6826587142229839
1.0,1.0,79.0,200.0,2.333333333333333,0.7209028008857403
1.0,1.0,85.0,200.0,2.333333333333333,0.8588741381494368
1.0,1.0,92.0,200.0,2.333333333333333,1.0524830142025499
1.0,1.0,100.0,200.0,2.333333333333333,1.0788865307641176
1.0,1.0,108.0,200.0,2.333333333333333,1.1892117571256742
1.0,1.0,116.0,200.0,2.333333333333333,1.7987776013861665
1.0,1.0,126.0,200.0,2.333333333333333,2.3901241366455683
1.0,1.0,136.0,200.0,2.333333333333333,3.1273524800034975
1.0,1.0,147.0,200.0,2.333333333333333,3.0118171998669525
1.0,1.0,158.0,200.0,2.333333333333333,4.457035470370724
1.0,1.0,171.0,200.0,2.333333333333333,6.452048318232762
