λ,μ,p,n,snr,MSE
1.0,1.0,20.0,200.0,1.0,0.10320247727032074
1.0,1.0,21.0,200.0,1.0,0.11100577745901448
1.0,1.0,23.0,200.0,1.0,0.11196093806572908
1.0,1.0,25.0,200.0,1.0,0.12094308875558522
1.0,1.0,27.0,200.0,1.0,0.1424633859101195
1.0,1.0,29.0,200.0,1.0,0.19842540368818024
1.0,1.0,31.0,200.0,1.0,0.2010001583023926
1.0,1.0,34.0,200.0,1.0,0.20601730713558053
1.0,1.0,36.0,200.0,1.0,0.2179226509818091
1.0,1.0,39.0,200.0,1.0,0.22004630614536436
1.0,1.0,43.0,200.0,1.0,0.25779409613114584
1.0,1.0,46.0,200.0,1.0,0.2837512769897379
1.0,1.0,50.0,200.0,1.0,0.29193873978156887
1.0,1.0,54.0,200.0,1.0,0.39164049721254374
1.0,1.0,58.0,200.0,1.0,0.4018105361099156
1.0,1.0,63.0,200.0,1.0,0.4870758835088543
1.0,1.0,68.0,200.0,1.0,0.5663521363808044
1.0,1.0,73.0,200.0,1.0,0.6460080227154669
1.0,1.0,79.0,200.0,1.0,0.7000701474082052
1.0,1.0,85.0,200.0,1.0,0.9067438549581112
1.0,1.0,92.0,200.0,1.0,1.0346071736059193
1.0,1.0,100.0,200.0,1.0,1.151414880462185
1.0,1.0,108.0,200.0,1.0,1.1809693565470103
1.0,1.0,116.0,200.0,1.0,1.895490629177923
1.0,1.0,126.0,200.0,1.0,2.6469844926720154
1.0,1.0,136.0,200.0,1.0,2.9468145714576335
1.0,1.0,147.0,200.0,1.0,3.175774488365914
1.0,1.0,158.0,200.0,1.0,4.100328755387869
1.0,1.0,171.0,200.0,1.0,6.343185934016832
1.0,1.0,185.0,200.0,1.0,8.165262595420801
1.0,1.0,200.0,200.0,1.0,224.53607506273957
1.0,1.0,216.0,200.0,1.0,6.1153538326119525
1.0,1.0,234.0,200.0,1.0,3.6840249604544826
1.0,1.0,254.0,200.0,1.0,2.6850729479057356
1.0,1.0,275.0,200.0,1.0,2.1700314224879405
1.0,1.0,297.0,200.0,1.0,1.5873075769796694
1.0,1.0,322.0,200.0,1.0,1.3528077505187444
1.0,1.0,348.0,200.0,1.0,1.219245931578145
1.0,1.0,377.0,200.0,1.0,1.064276342534255
1.0,1.0,408.0,200.0,1.0,0.9422116411916879
1.0,1.0,442.0,200.0,1.0,0.8480268216058215
1.0,1.0,479.0,200.0,1.0,0.757502644635006
1.0,1.0,518.0,200.0,1.0,0.6465520022723543
1.0,1.0,561.0,200.0,1.0,0.5599369145468372
1.0,1.0,608.0,200.0,1.0,0.5155750602445806
1.0,1.0,658.0,200.0,1.0,0.45633149407644125
1.0,1.0,712.0,200.0,1.0,0.410174893682081
1.0,1.0,771.0,200.0,1.0,0.3529528016885124
1.0,1.0,835.0,200.0,1.0,0.3027797749303978
1.0,1.0,904.0,200.0,1.0,0.2791404043569064
1.0,1.0,979.0,200.0,1.0,0.25449729072664534
