λ,μ,p,n,snr,MSE
1.0,1.0,20.0,200.0,1.0,0.12487159679223687
1.0,1.0,21.0,200.0,1.0,0.13451494954192314
1.0,1.0,23.0,200.0,1.0,0.14038652531556883
1.0,1.0,25.0,200.0,1.0,0.15481638372147644
1.0,1.0,27.0,200.0,1.0,0.18644849509493353
1.0,1.0,29.0,200.0,1.0,0.22359198819274226
1.0,1.0,31.0,200.0,1.0,0.22774674652430868
1.0,1.0,34.0,200.0,1.0,0.23473746287663774
1.0,1.0,36.0,200.0,1.0,0.2455135232862427
1.0,1.0,39.0,200.0,1.0,0.24347488234590486
1.0,1.0,43.0,200.0,1.0,0.3000791097154199
1.0,1.0,46.0,200.0,1.0,0.31812405448210257
1.0,1.0,50.0,200.0,1.0,0.324710667078572
1.0,1.0,54.0,200.0,1.0,0.42933765659609263
1.0,1.0,58.0,200.0,1.0,0.44063894111396484
1.0,1.0,63.0,200.0,1.0,0.5081032601792986
1.0,1.0,68.0,200.0,1.0,0.5907766875879294
1.0,1.0,73.0,200.0,1.0,0.6826587142228501
1.0,1.0,79.0,200.0,1.0,0.7209028008856048
1.0,1.0,85.0,200.0,1.0,0.8588741381492561
1.0,1.0,92.0,200.0,1.0,1.0524830142023678
1.0,1.0,100.0,200.0,1.0,1.0788865307640427
1.0,1.0,108.0,200.0,1.0,1.1892117571255163
1.0,1.0,116.0,200.0,1.0,1.798777601386451
1.0,1.0,126.0,200.0,1.0,2.3901241366457944
1.0,1.0,136.0,200.0,1.0,3.1273524800043617
1.0,1.0,147.0,200.0,1.0,3.0118171998676377
1.0,1.0,158.0,200.0,1.0,4.4570354703750334
1.0,1.0,171.0,200.0,1.0,6.45204831823491
1.0,1.0,185.0,200.0,1.0,10.577427070057883
1.0,1.0,200.0,200.0,1.0,4876.644760040671
1.0,1.0,216.0,200.0,1.0,8.597184036603956
1.0,1.0,234.0,200.0,1.0,3.7112315054192293
1.0,1.0,254.0,200.0,1.0,2.912624618410983
1.0,1.0,275.0,200.0,1.0,2.4772204196977503
1.0,1.0,297.0,200.0,1.0,1.9913950977527486
1.0,1.0,322.0,200.0,1.0,1.801042791817091
1.0,1.0,348.0,200.0,1.0,1.6830414441446606
1.0,1.0,377.0,200.0,1.0,1.5504497941028952
1.0,1.0,408.0,200.0,1.0,1.4404983032967855
1.0,1.0,442.0,200.0,1.0,1.3644454136013486
1.0,1.0,479.0,200.0,1.0,1.3093302773369375
1.0,1.0,518.0,200.0,1.0,1.241269081318342
1.0,1.0,561.0,200.0,1.0,1.190034382204415
1.0,1.0,608.0,200.0,1.0,1.1845937055435962
1.0,1.0,658.0,200.0,1.0,1.1312201736731577
1.0,1.0,712.0,200.0,1.0,1.1298980416165951
1.0,1.0,771.0,200.0,1.0,1.0983955456046632
1.0,1.0,835.0,200.0,1.0,1.0556218894572886
